Year,Company Name,Country,Industry (Exiobase),Total Environmental Intensity (Revenue),Total Environmental Intensity (Operating Income),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity ,Wood Production Capacity,% Imputed
2017,BEIJING CAPITAL INTERNATIONAL AIRPORT COMPANY LTD,China,Air transport (62),7.01%,18.92%,103167972,90822546,21080,1199112,276904,3865,8,10848176,3719,5%
2017,KERRY LOGISTICS NETWORK LTD,Hong Kong,Air transport (62),2.60%,39.97%,102375303,85364373,25473,1124786,252466,4320,21,15627679,23814,12%
2017,SINOTRANS LTD,China,Air transport (62),0.54%,17.32%,56642498,55421445,13532,731139,171849,2324,  ,302209,  ,0%
2017,FEDEX CORPORATION,United States,Air transport (62),8.40%,99.39%,5066692839,4964668047,2105046,57638232,14316843,166311,2887733,25249196,9979610,14%
2017,"AIR PRODUCTS AND CHEMICALS,INC.",United States,Chemicals nec,121.78%,600.36%,9970822654,8854459845,2033524,117942809,27562529,369583,440220,968055745,41601,10%
2017,AIR LIQUIDE,France,Chemicals nec,33.67%,218.03%,8227220525,7964140414,1882436,105620207,24772675,335470,1016747,129544522,91946,0%
2017,LINDE PLC,United Kingdom,Chemicals nec,61.66%,280.27%,7003865520,6651893014,1535561,88463480,20734690,278430,238900,240763990,42545,3%
2017,DUPONT DE NEMOURS INC,United States,Chemicals nec,8.28%,105.08%,5176301784,1892389119,597016,25826315,5429181,88340,3359557,3248917099,304843,5%
2017,WANHUA CHEMICAL GROUP CO LTD,China,Chemicals nec,57.03%,178.13%,4656537349,4099149228,1175002,52638131,12346789,181117,8341423,482916488,210829,8%
2017,COVESTRO AG,Germany,Chemicals nec,13.18%,70.02%,2238481997,2162616101,454803,29250128,6335888,85383,5711571,33991421,36702,12%
2017,KIMBERLYCLARK CORPORATION,United States,Chemicals nec,10.65%,58.96%,1945243286,1387196957,335469,18749040,4202856,59051,981726,533779002,60815,4%
2017,TOKUYAMA CORPORATION,Japan,Chemicals nec,64.90%,488.70%,1723362922,1656238692,472412,22416432,5206076,79609,355566,38881074,286939,1%
2017,SHINETSU CHEMICAL CO LIMITED,Japan,Chemicals nec,14.29%,74.10%,1569852671,1519995060,353520,19978900,4681432,63595,1470982,23320083,10900,2%
2017,PROCTER & GAMBLE CO,United States,Chemicals nec,2.31%,10.23%,1501898085,1109387064,424719,15439766,2968306,56145,3497953,370441532,317401,13%
2017,TAIYO NIPPON SANSO CORPORATION,Japan,Chemicals nec,22.89%,269.77%,1181912546,1143977755,279306,15275636,3497510,48577,691368,18176011,33616,2%
2017,AKZO NOBEL N.V.,Netherlands,Chemicals nec,9.38%,104.33%,1082516221,1004142224,264285,13065955,3047223,43207,1348759,60636124,31557,4%
2017,WACKER CHEMIE AG,Germany,Chemicals nec,15.47%,215.68%,915040065,792341179,234043,10071935,2371648,35014,1989314,108033525,36592,3%
2017,CELANESE CORPORATION,United States,Chemicals nec,13.12%,82.71%,805619122,841130450,211517,11134674,2596626,36220,330127,49790536,29955,5%
2017,AIR WATER INCORPORATED,Japan,Chemicals nec,8.85%,143.49%,526656325,496743687,115391,6705778,1471288,20512,797109,20812679,10119,9%
2017,HENGAN INTERNATIONAL GROUP COMPANY LTD,China,Chemicals nec,14.85%,71.53%,523718380,413988938,85551,5022675,1146644,15522,3602848,99819711,36491,16%
2017,ASHLAND GLOBAL HOLDINGS INC,United States,Chemicals nec,15.44%,200.57%,503440652,286419674,74070,3843624,868481,12421,175279,212063008,15905,3%
2017,NIPPON SHOKUBAI COMPANY LIMITED,Japan,Chemicals nec,14.95%,209.33%,390270311,367241960,82355,4937671,1112531,15104,349461,16533727,2499,9%
2017,KIMBERLYCLARK DE MEXICO S.A.B. DE C.V.,Mexico,Chemicals nec,20.07%,108.58%,387590791,266288289,58261,3506469,779135,10693,644795,116300482,2667,8%
2017,KAO CORP,Japan,Chemicals nec,2.79%,21.48%,369271074,351363109,80280,4359329,1021123,14213,1770570,10654163,8287,12%
2017,CLARIANT AG,Switzerland,Chemicals nec,5.31%,59.56%,347770106,280769038,71412,3729660,872693,12373,7101,62325729,17901,1%
2017,ALBEMARLE CORPORATION,United States,Chemicals nec,10.78%,56.36%,331276400,290836479,88291,3794224,866323,12749,165170,35524977,11813,4%
2017,KRATON CORP,United States,Chemicals nec,16.03%,133.69%,314234149,208502086,52826,2781144,646744,9222,105402,102151809,15085,1%
2017,MINERALS TECHNOLOGIES INC.,United States,Chemicals nec,18.32%,117.56%,306943504,188000660,47398,2517996,573557,8082,90097,115713890,8175,2%
2017,W. R. GRACE & CO,United States,Chemicals nec,17.36%,96.98%,297922087,223774442,55686,2994205,684794,9577,92291,70319467,8374,2%
2017,NITTO DENKO CORPORATION,Japan,Chemicals nec,4.25%,37.99%,289428570,277411060,61856,3553282,821655,11195,912626,6650703,6193,8%
2017,HITACHI CHEMICAL CO LTD,Japan,Chemicals nec,4.88%,56.93%,240045395,231680871,51774,2978494,690933,9360,658868,3969642,5453,7%
2017,AECI LIMITED,South Africa,Chemicals nec,12.80%,149.78%,191081878,169191753,49432,2154974,490219,7263,589415,18603088,4266,5%
2017,DIC CORPORATION,Japan,Chemicals nec,2.47%,34.47%,172871849,164764206,61696,2274270,419419,8165,938442,4451281,45629,13%
2016,THOMSON REUTERS CORP,Canada,Activities auxiliary to financial intermediation (67),0.95%,6.57%,106031085,94005246,25739,1265169,296305,4403,395370,10051803,12950,3%
2016,INTERTEK GROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),1.96%,12.70%,62140230,60789836,14076,808375,189513,2546,3047,333244,407,1%
2016,TELEPERFORMANCE SE,France,Activities auxiliary to financial intermediation (67),1.10%,11.99%,42272201,39703219,9340,528434,123806,1682,2772,1903737,789,2%
2016,SAGA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),2.82%,13.96%,33603961,32874125,7583,437174,102491,1374,1143,180223,153,0%
2016,RELX PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.36%,1.48%,30597767,29672802,7253,394345,92430,1278,8184,422567,1092,4%
2016,APPLUS SERVICES SA,Spain,Activities auxiliary to financial intermediation (67),1.71%,35.20%,28681436,20718245,5023,273855,64220,883,3359,7616355,504,2%
2016,ADECCO GROUP AG,Switzerland,Activities auxiliary to financial intermediation (67),0.10%,2.05%,25954349,24113619,6136,317383,73697,1078,13386,1431241,2192,1%
2016,CAPITA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.42%,5.29%,25429648,24873178,6020,330597,77491,1066,5814,136259,776,3%
2016,RANDSTAD NV,Netherlands,Activities auxiliary to financial intermediation (67),0.09%,2.32%,20006190,19402052,6061,253775,58677,991,24599,265129,5092,14%
2016,STANTEC INCORPORATED,Canada,Activities auxiliary to financial intermediation (67),0.61%,8.81%,14087814,11769959,3569,159626,37360,591,81801,2037588,2679,5%
2016,EXPERIAN PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.31%,1.26%,12962219,12678616,3065,168517,39500,543,2909,69457,388,3%
2016,WOLTERS KLUWER NV,Netherlands,Activities auxiliary to financial intermediation (67),0.20%,1.14%,9279219,8973680,2390,118461,27602,412,5110,152623,1058,7%
2016,S&P GLOBAL INC,United States,Activities auxiliary to financial intermediation (67),0.16%,0.41%,9217020,9014071,2812,120056,28024,459,4577,49260,2237,16%
2016,NIELSEN HOLDINGS PLC,United States,Activities auxiliary to financial intermediation (67),0.13%,0.67%,8395562,7567323,2567,100834,23504,408,5101,698319,2494,18%
2016,LONDON STOCK EXCHANGE GROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.36%,1.26%,7313512,7153224,1748,95065,22282,308,1967,39181,262,4%
2016,RICARDO PLC,United Kingdom,Activities auxiliary to financial intermediation (67),1.70%,15.44%,6985162,6833321,1585,90867,21302,286,395,37459,53,1%
2016,HONG KONG EXCHANGES AND CLEARING LIMITED,Hong Kong,Activities auxiliary to financial intermediation (67),0.40%,0.66%,5336222,5219639,1286,68853,16124,224,1924,28352,182,3%
2016,MOODY'S CORPORATION,United States,Activities auxiliary to financial intermediation (67),0.13%,0.30%,4530349,4430155,1491,59029,13761,238,2914,24186,1425,19%
2016,ASX LIMITED,Australia,Activities auxiliary to financial intermediation (67),0.68%,1.01%,4439817,4342448,1047,57620,13483,186,1457,23708,133,3%
2016,BALOISE HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),0.05%,0.70%,4205376,4074247,1134,53104,12218,194,4362,60831,714,7%
2016,VERISK ANALYTICS INCORPORATION,United States,Activities auxiliary to financial intermediation (67),0.21%,0.54%,4139832,4048970,1190,53910,12596,198,1613,22143,789,14%
2016,HAYS PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.05%,1.23%,2761123,2697002,903,35690,8353,139,5023,14685,670,17%
2016,JSE LIMITED,South Africa,Activities auxiliary to financial intermediation (67),1.60%,0,2758566,2698030,615,35744,8362,112,992,14704,7,1%
2016,BURSA MALAYSIA BHD,Malaysia,Activities auxiliary to financial intermediation (67),2.35%,4.69%,2474358,2420925,564,31971,7491,101,151,13173,18,0%
2016,PAGEGROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.12%,1.44%,1800646,1760393,484,23362,5473,81,1420,9623,189,9%
2016,B3 SA BRASIL BOLSA BALCAO,Brazil,Activities auxiliary to financial intermediation (67),0.15%,0.32%,1072646,1050236,226,13090,3069,41,526,5395,63,10%
2016,JAPAN EXCHANGE GROUP INC,Japan,Activities auxiliary to financial intermediation (67),0.09%,0.16%,885962,866011,283,11580,2699,45,821,4745,221,17%
2016,BOLSAS Y MERCADOS ESPANOLES SHMSF SA,Spain,Activities auxiliary to financial intermediation (67),0.26%,0.41%,875667,856591,253,11051,2594,40,678,4561,102,11%
2016,MCMILLAN SHAKESPEARE LTD,Australia,Activities auxiliary to financial intermediation (67),0.17%,0.63%,617602,603611,168,7954,1850,28,810,3253,74,9%
2016,STHREE PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.05%,1.27%,590993,577215,197,7636,1787,30,1139,3142,152,18%
2016,AF POYRY AB,Sweden,Activities auxiliary to financial intermediation (67),0.05%,0.56%,587050,572915,257,6753,1478,41,3510,2595,498,20%
2016,ROBERT WALTERS PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.05%,2.05%,666553,653094,82,8728,2050,21,1185,3605,158,17%
2016,HACI OMER SABANCI HOLDING A.S.,Turkey,Activities of membership organisation n.e.c. (91),178.07%,0,6254689966,6009626941,1307716,73457427,17216963,231871,3625617,148773233,450199,12%
2016,MYTILINEOS HOLDINGS S.A.,Greece,Activities of membership organisation n.e.c. (91),412.74%,4201.40%,5427125648,1371814146,346064,18152593,4265343,58932,461,4032525897,37789,0%
2016,SEMBCORP INDUSTRIES LIMITED,Singapore,Activities of membership organisation n.e.c. (91),96.93%,1036.24%,5305401283,4176736751,1117012,55705089,13048724,192262,1158045,1057932414,489015,1%
2016,ENKA INSAAT VE SANAYI A.S.,Turkey,Activities of membership organisation n.e.c. (91),123.58%,696.12%,3715502682,3640504153,775521,42880516,10048999,135895,3103447,17668792,385360,17%
2016,3M COMPANY,United States,Activities of membership organisation n.e.c. (91),6.91%,28.78%,2079609128,1852168964,424375,24699080,5749022,77197,30584,196469284,9378,0%
2016,ALFA SAB DE CV,Mexico,Activities of membership organisation n.e.c. (91),11.48%,128.63%,1636659338,1282347957,296835,17032008,3994787,53465,2849,332932116,681,0%
2016,HONEYWELL INTERNATIONAL INCORPORATED,United States,Activities of membership organisation n.e.c. (91),3.36%,20.68%,1322496975,1293853290,300445,17164250,4022989,54296,39922,7074025,12242,1%
2016,GENERAL ELECTRIC COMPANY,United States,Activities of membership organisation n.e.c. (91),1.07%,9.62%,1283018533,1154119399,277812,15216741,3564104,49390,121577,109706792,37280,2%
2016,SIME DARBY BERHAD,Malaysia,Activities of membership organisation n.e.c. (91),11.33%,293.62%,1110612123,1066711505,237068,13266678,3109478,42166,2073946,25116599,54683,9%
2016,ABOITIZ EQUITY VENTURES INC.,Philippines,Activities of membership organisation n.e.c. (91),39.48%,158.90%,926587775,904755734,205260,11812590,2769224,37123,496622,6498127,13094,2%
2016,AYALA CORPORATION,Philippines,Activities of membership organisation n.e.c. (91),20.76%,104.35%,875599785,841426681,189465,10794665,2530411,34061,892536,19708432,23533,5%
2016,TOSHIBA CORPORATION,Japan,Activities of membership organisation n.e.c. (91),1.76%,0,854358612,824042769,233673,11001724,2582582,38551,118868,16447181,106736,0%
2016,FAR EASTERN NEW CENTURY CORPORATION,Taiwan,Activities of membership organisation n.e.c. (91),8.87%,131.73%,591441178,548296998,135210,7272735,1699338,23755,315881,33722691,25430,2%
2016,SIEMENS AG,Germany,Activities of membership organisation n.e.c. (91),0.69%,7.17%,582124663,546212762,129474,7173818,1670654,22722,532428,26384011,1206,2%
2016,KEPPEL CORPORATION LIMITED,Singapore,Activities of membership organisation n.e.c. (91),10.68%,90.88%,500281206,486454056,107960,6029910,1413286,19180,991115,5239567,26132,10%
2016,REMGRO LIMITED,South Africa,Activities of membership organisation n.e.c. (91),18.07%,0,365732233,265587957,59805,3466288,808236,10846,258037,95536943,4121,3%
2016,HOSKEN CONSOLIDATED INVESTMENTS LIMITED,South Africa,Activities of membership organisation n.e.c. (91),13.10%,68.40%,225705087,135426155,30177,1744976,405337,5459,219702,87869772,3509,4%
2016,NISSHINBO HOLDINGS INCORPORATED,Japan,Activities of membership organisation n.e.c. (91),4.83%,204.34%,221008134,215687093,53193,2868541,672395,9294,11197,1714172,7752,0%
2016,KAP INDUSTRIAL HOLDINGS LTD,South Africa,Activities of membership organisation n.e.c. (91),17.86%,177.39%,211848740,207173345,46832,2716689,634327,8501,151224,1115407,2415,3%
2016,SAMSUNG C&T CORP,South Korea,Activities of membership organisation n.e.c. (91),0.46%,78.53%,106269955,98146795,28554,1284332,299802,4592,232834,6286114,13069,10%
2016,GRUPO KUO SAB DE CV,Mexico,Activities of membership organisation n.e.c. (91),5.56%,66.45%,58298212,57033563,13067,758507,177832,2376,210,312707,50,0%
2016,DOOSAN CORP,South Korea,Activities of membership organisation n.e.c. (91),0.42%,9.66%,56733753,54303275,12629,708537,164935,2267,135965,1406720,575,5%
2016,ALLIED ELECTRONICS CORPORATION LIMITED,South Africa,Activities of membership organisation n.e.c. (91),4.94%,101.00%,51818183,47014743,10269,591098,136287,1849,133756,3928046,2136,11%
2016,JOHN KEELLS HOLDINGS LIMITED,Sri Lanka,Activities of membership organisation n.e.c. (91),5.42%,48.28%,33754908,30121607,6452,342123,80155,1112,131809,3068176,3475,18%
2016,SMITHS GROUP PLC,United Kingdom,Activities of membership organisation n.e.c. (91),0.69%,3.22%,25246165,24340395,5833,323958,75835,1037,3791,495934,616,3%
2016,EURAZEO SE,France,Activities of membership organisation n.e.c. (91),0.22%,5.85%,5035941,3879606,891,55276,11498,164,1890,1086912,297,9%
2016,"CORPORACION FINANCIERA ALBA,S.A.",Spain,Activities of membership organisation n.e.c. (91),0.16%,0,31748,30915,10,400,90,2,38,299,6,15%
2016,DELTA AIR LINES INC,United States,Air transport (62),27.92%,149.54%,11068737360,10832124217,2465799,140984691,32940403,449631,1897691,57923083,48155,4%
2016,UNITED CONTINENTAL HOLDINGS INCORPORATED,United States,Air transport (62),27.53%,202.22%,10062407271,9831976686,2386313,129233968,29889382,425402,1750095,67287177,541752,6%
2016,SOUTHWEST AIRLINES CO.,United States,Air transport (62),32.05%,174.10%,6546041357,6405649364,1447901,84014218,19471493,264987,977834,34239154,23594,5%
2016,DEUTSCHE LUFTHANSA AG,Germany,Air transport (62),15.15%,341.73%,5062896121,4948513105,2495134,70673175,16349379,367321,79580,28734309,4315882,6%
2016,ANA HOLDINGS INC,Japan,Air transport (62),21.01%,275.81%,3226463086,3156622889,793789,42030525,9806149,140035,71204,17241995,243499,2%
2016,GRUPO AEROPORTUARIO DEL PACIFICO SAB DE CV,Mexico,Air transport (62),514.04%,1090.77%,2771084724,29419426,5908,342829,81999,280,0,2800962799,40011,1%
2016,CATHAY PACIFIC AIRWAYS LTD,Hong Kong,Air transport (62),21.95%,0,2625616580,2330656072,1468455,34663468,8036960,208227,65,253531726,2948392,1%
2016,KOREAN AIR LINES COMPANY LIMITED,South Korea,Air transport (62),20.72%,219.85%,2018082172,1969989944,1162394,28243947,6524482,164206,311368,13869071,2183240,6%
2016,EVA AIRWAYS CORP,Taiwan,Air transport (62),42.90%,870.44%,1916955052,1875243495,436313,24808636,5766783,79327,56049,10614573,50122,3%
2016,ALASKA AIR GROUP INCORPORATED,United States,Air transport (62),27.38%,110.10%,1623982006,1588561634,382929,20866392,4825965,68402,283943,9071521,78780,6%
2016,GOL LINHAS AEREAS INTELIGENTES S.A.,Brazil,Air transport (62),35.18%,747.48%,1066135934,1043236978,246733,13620537,3175055,97592,201686,5582790,25437,5%
2016,SAS AB,Sweden,Air transport (62),19.52%,589.27%,847763669,828507569,365102,11712754,2729760,55359,  ,4946222,553097,1%
2016,PEGASUS HAVA TASIMACILIGI AS,Turkey,Air transport (62),47.92%,0,504820946,493689295,160761,6749422,1576217,26246,8,2770544,151547,19%
2016,BEIJING CAPITAL INTERNATIONAL AIRPORT COMPANY LTD,China,Air transport (62),7.52%,22.56%,93931247,74813594,17373,987525,227935,3186,7,17884787,3158,5%
2016,SINOTRANS LTD,China,Air transport (62),0.58%,18.68%,50023880,48946703,12087,644776,151620,2055,  ,266638,  ,0%
2016,KOEBENHAVNS LUFTHAVNE AS,Denmark,Air transport (62),3.20%,7.83%,20093533,26025898,6164,320399,77652,283,8399,6352029,36460,15%
2016,FEDEX CORPORATION,United States,Air transport (62),10.31%,152.70%,5194840402,5090638357,2036876,58903992,14502111,156453,2411191,25573823,9826640,12%
2016,AIR LIQUIDE,France,Chemicals nec,41.35%,263.12%,7913227019,7658254468,1807001,101647654,23838927,322795,796212,126656286,96325,0%
2016,LINDE PLC,United Kingdom,Chemicals nec,63.43%,288.15%,6682207257,6500834196,1503948,86470692,20267470,272492,220038,72690069,51648,0%
2016,WANHUA CHEMICAL GROUP CO LTD,China,Chemicals nec,104.92%,485.23%,4547831445,3864282035,1009845,50395972,11818344,166413,4428556,615842213,111931,8%
2016,KIMBERLYCLARK CORPORATION,United States,Chemicals nec,10.75%,58.99%,1956706661,1374196872,333766,18576756,4163180,58629,978661,558462493,63697,4%
2016,TOKUYAMA CORPORATION,Japan,Chemicals nec,62.48%,831.68%,1644842791,1582367729,449519,21413951,4971581,75865,352514,35481048,269416,1%
2016,PROCTER & GAMBLE CO,United States,Chemicals nec,2.39%,10.88%,1562760785,1148364901,434267,15960697,3088023,57804,3510910,391662759,318576,13%
2016,SHINETSU CHEMICAL CO LIMITED,Japan,Chemicals nec,13.40%,82.26%,1470444717,1426538167,334280,18742595,4391530,59937,1468992,18926121,16906,2%
2016,AKZO NOBEL N.V.,Netherlands,Chemicals nec,8.01%,75.73%,1200354744,1063251967,284243,13747192,3206227,45693,1750530,118099160,30269,4%
2016,TAIYO NIPPON SANSO CORPORATION,Japan,Chemicals nec,19.26%,284.88%,1058934943,1026599654,253614,13718523,3126996,43754,736347,14491858,35803,2%
2016,CELANESE CORPORATION,United States,Chemicals nec,18.47%,109.97%,995206714,991265713,243187,13149625,3065863,42293,289749,12823423,26291,4%
2016,AIR WATER INCORPORATED,Japan,Chemicals nec,9.25%,154.69%,524114301,459510453,107656,6201721,1358364,19005,758277,56169015,10191,9%
2016,"PPG INDUSTRIES,INC.",United States,Chemicals nec,3.45%,24.25%,508797795,414235364,149225,5571814,1284058,23041,793112,86896389,155209,5%
2016,ASHLAND GLOBAL HOLDINGS INC,United States,Chemicals nec,9.71%,84.86%,480293494,260585481,72599,3517819,775193,11604,266038,215088901,24140,4%
2016,JSR CORPORATION,Japan,Chemicals nec,12.10%,135.94%,400978123,307053198,72169,4029088,938434,12927,443873,88433856,5423,3%
2016,KIMBERLYCLARK DE MEXICO S.A.B. DE C.V.,Mexico,Chemicals nec,22.94%,102.01%,396974940,266384326,59290,3514320,785383,10824,577928,125642770,99,7%
2016,NIPPON SHOKUBAI COMPANY LIMITED,Japan,Chemicals nec,13.90%,144.42%,385017059,370647251,82643,4984682,1120812,15189,370889,7797026,1434,6%
2016,ALBEMARLE CORPORATION,United States,Chemicals nec,14.29%,75.08%,382616709,341110816,85045,4564859,1043409,14608,143944,35667089,13061,3%
2016,KAO CORP,Japan,Chemicals nec,2.89%,23.68%,360556041,342800403,78833,4264819,998961,13940,1673078,10719768,6238,12%
2016,KRATON CORP,United States,Chemicals nec,19.26%,197.82%,335923700,207884386,52611,2775700,644798,9181,93775,124477954,14705,1%
2016,CLARIANT AG,Switzerland,Chemicals nec,5.60%,61.31%,322180461,258031360,65947,3418229,800680,11313,6244,59861027,14339,1%
2016,MINERALS TECHNOLOGIES INC.,United States,Chemicals nec,19.17%,122.08%,313990509,169308713,43024,2269003,515558,7298,88070,141766835,7991,2%
2016,W. R. GRACE & CO,United States,Chemicals nec,17.84%,100.25%,285218723,211351388,52536,2827741,646948,9042,85951,70252917,7799,2%
2016,HITACHI CHEMICAL CO LTD,Japan,Chemicals nec,4.96%,59.87%,232126698,223302550,50316,2871074,666984,9070,627249,4595300,4155,7%
2016,ECOLAB INC.,United States,Chemicals nec,1.76%,11.40%,231871370,202441848,68245,2779919,520845,8943,707182,25368966,24579,10%
2016,NITTO DENKO CORPORATION,Japan,Chemicals nec,3.08%,25.66%,209408634,198687736,75546,2461988,573426,10143,910286,6733769,44260,19%
2016,DIC CORPORATION,Japan,Chemicals nec,2.88%,40.32%,185352417,174914991,62074,2402560,458701,8482,862518,6685029,41938,12%
2015,INTERTEK GROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),1.97%,13.27%,62963970,61595746,14257,819095,192026,2579,3002,337664,401,1%
2015,SAGA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),2.65%,16.72%,35118799,34356018,7928,456879,107110,1436,1248,188346,167,1%
2015,TELEPERFORMANCE SE,France,Activities auxiliary to financial intermediation (67),0.82%,9.22%,30249920,28007748,6652,372867,87338,1194,2625,1772243,747,2%
2015,CAPITA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.39%,3.85%,26926295,26336802,6393,350039,82047,1130,6478,144271,864,3%
2015,ADECCO GROUP AG,Switzerland,Activities auxiliary to financial intermediation (67),0.10%,2.07%,26479129,24685179,6239,325136,75547,1099,12777,1375246,2093,1%
2015,APPLUS SERVICES SA,Spain,Activities auxiliary to financial intermediation (67),1.28%,24.02%,23570133,23056064,5588,304767,71469,982,3716,128104,558,3%
2015,ZURICH INSURANCE GROUP LIMITED,Switzerland,Activities auxiliary to financial intermediation (67),0.03%,0.55%,20773635,17523724,5370,225786,51375,893,29326,2941963,4803,3%
2015,RANDSTAD NV,Netherlands,Activities auxiliary to financial intermediation (67),0.10%,2.71%,20757532,20133482,6131,263758,61066,1010,23127,273746,4788,13%
2015,RELX PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.18%,0.75%,15902380,15307596,3973,203290,47637,680,8274,332034,1104,4%
2015,STANTEC INCORPORATED,Canada,Activities auxiliary to financial intermediation (67),0.85%,9.11%,14449596,12668449,3537,170739,39982,601,59664,1508577,1954,4%
2015,EXPERIAN PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.29%,1.20%,14018861,13712420,3296,182270,42725,585,2812,75127,375,3%
2015,WOLTERS KLUWER NV,Netherlands,Activities auxiliary to financial intermediation (67),0.25%,1.50%,11244538,10889697,2825,143951,33580,491,5064,169979,1048,6%
2015,NIELSEN HOLDINGS PLC,United States,Activities auxiliary to financial intermediation (67),0.13%,0.70%,7992720,7816060,2603,104137,24282,416,4976,42677,2433,19%
2015,LONDON STOCK EXCHANGE GROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.35%,1.33%,7254920,7095903,1735,94303,22103,306,1966,38866,262,4%
2015,HONG KONG EXCHANGES AND CLEARING LIMITED,Hong Kong,Activities auxiliary to financial intermediation (67),0.38%,0.56%,6026381,5894643,1461,77705,18195,254,2351,31994,222,4%
2015,RICARDO PLC,United Kingdom,Activities auxiliary to financial intermediation (67),1.53%,14.58%,5822089,5695506,1323,75736,17755,239,357,31221,48,1%
2015,HELVETIA HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),0.05%,1.00%,4390763,4294043,1194,55975,12880,204,4572,22643,749,7%
2015,VERISK ANALYTICS INCORPORATION,United States,Activities auxiliary to financial intermediation (67),0.21%,0.59%,4346819,4251432,1246,56605,13226,207,1667,23251,815,13%
2015,BALOISE HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),0.05%,0.68%,4321474,4226340,1167,55138,12697,200,4316,22322,707,7%
2015,ASX LIMITED,Australia,Activities auxiliary to financial intermediation (67),0.68%,1.05%,4312337,4217781,1016,55968,13097,180,1393,23029,127,3%
2015,JSE LIMITED,South Africa,Activities auxiliary to financial intermediation (67),2.14%,0,2975302,2910215,664,38595,9035,121,780,15887,5,1%
2015,HAYS PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.05%,1.19%,2870849,2804092,945,37103,8683,145,5325,15266,711,18%
2015,PAGEGROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.12%,1.43%,1893757,1851438,508,24571,5756,85,1476,10121,197,9%
2015,BURSA MALAYSIA BHD,Malaysia,Activities auxiliary to financial intermediation (67),1.54%,3.03%,1749377,1711687,402,22522,5276,72,162,9276,20,1%
2015,B3 SA BRASIL BOLSA BALCAO,Brazil,Activities auxiliary to financial intermediation (67),0.21%,0,1194724,1169434,257,14913,3496,47,383,6147,46,6%
2015,BOLSAS Y MERCADOS ESPANOLES SHMSF SA,Spain,Activities auxiliary to financial intermediation (67),0.22%,0.32%,795216,777879,240,9977,2342,37,732,4119,110,13%
2015,JAPAN EXCHANGE GROUP INC,Japan,Activities auxiliary to financial intermediation (67),0.08%,0.17%,747794,730943,240,9775,2278,38,706,4005,190,17%
2015,STHREE PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.05%,1.20%,676810,661139,218,8751,2048,34,1176,3601,157,17%
2015,MCMILLAN SHAKESPEARE LTD,Australia,Activities auxiliary to financial intermediation (67),0.22%,0.79%,621286,607351,162,8021,1869,27,625,3287,57,7%
2015,ROBERT WALTERS PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.05%,1.72%,586773,574995,67,7688,1806,18,1126,3176,150,16%
2015,AVIVA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.03%,0,11134439,10920430,635,146405,34418,284,32629,60542,4355,18%
2015,MYTILINEOS HOLDINGS S.A.,Greece,Activities of membership organisation n.e.c. (91),422.63%,3706.42%,6347912156,1186728726,303714,15656661,3681978,50918,512,5141517584,27937,0%
2015,HACI OMER SABANCI HOLDING A.S.,Turkey,Activities of membership organisation n.e.c. (91),123.23%,0,4921363382,4726850611,1004687,55457351,12996177,175828,4152251,120210884,515592,17%
2015,SEMBCORP INDUSTRIES LIMITED,Singapore,Activities of membership organisation n.e.c. (91),47.40%,2224.05%,3188509740,2084103161,507107,27207940,6376978,89215,1426256,1068866375,67294,3%
2015,3M COMPANY,United States,Activities of membership organisation n.e.c. (91),6.35%,27.21%,1921817679,1744463973,399621,23270043,5412770,72703,30208,148177624,9263,0%
2015,HONEYWELL INTERNATIONAL INCORPORATED,United States,Activities of membership organisation n.e.c. (91),4.28%,24.28%,1652505831,1616702749,374114,21459593,5030061,67718,38497,8844904,11805,1%
2015,GENERAL ELECTRIC COMPANY,United States,Activities of membership organisation n.e.c. (91),1.22%,14.89%,1403273054,1372955058,327095,18134456,4248342,58424,114909,7470006,35236,2%
